Basin,Mean dH,dh_median_smooth,Smooth dH,std_dh,error_dh,time,Dates,dates
CW,-1.12943471298025,-1.0998127488079,-1.08615294885808,0.911068294094918,0.0107348066295068,2017.63835616438,2017,2017-08-22 00:00:00.000001
CW,-1.03146066559243,-1.0998127488079,-1.12661293962857,0.741929177243364,0.00877239821874159,2018.02191780822,2018,2018-01-08 23:59:59.999997
CW,-1.0998127488079,-1.12943471298025,-1.17377285210545,0.816176063752127,0.00968622782317882,2018.40547945205,2018,2018-05-29 00:00:00.000000
CW,-1.15813563480248,-1.15813563480248,-1.22906237513899,0.873110634913541,0.0102309066770609,2018.78904109589,2018,2018-10-15 23:59:59.999996
CW,-1.16364330963356,-1.16364330963356,-1.29131516779516,0.902616847322308,0.0105941236409533,2019.17260273973,2019,2019-03-05 00:00:00.000000
CW,-1.37537762098612,-1.37537762098612,-1.35694774792838,1.01822820794641,0.0122094628270239,2019.55616438356,2019,2019-07-23 00:00:00.000003
CW,-1.57173086078087,-1.55070973205379,-1.42122130529402,1.24023960452843,0.014749088342521,2019.93954637323,2019,2019-12-09 22:25:34.426227
CW,-1.63092595887202,-1.55070973205379,-1.47992291771051,1.2304673631653,0.0149216085506052,2020.32240437158,2020,2020-04-28 00:00:00.000002
CW,-1.55070973205379,-1.57173086078087,-1.53059190191871,1.16211323901291,0.0135413534251594,2020.70491803279,2020,2020-09-15 00:00:00.000002
CW,-1.50339546767258,-1.59542349169771,-1.57272508819508,1.14818277605318,0.0133527680383228,2021.08781345909,2021,2021-02-02 01:14:45.245900
CW,-1.59542349169771,-1.59542349169771,-1.6071210589709,1.41730342311194,0.0165610805015597,2021.47123287671,2021,2021-06-21 23:59:59.999999
CW,-1.71472407407163,-1.69513562540886,-1.63509322821611,1.66805459970437,0.0193476488117437,2021.85479452055,2021,2021-11-09 00:00:00.000002
